trip_id,driver_id,customer_id,pickup_datetime,dropoff_datetime,pickup_location_id,dropoff_location_id,city,distance_km,duration_minutes,vehicle_type,fare_amount,tip_amount,surge_multiplier,payment_type,status,hour_of_day,day_of_week,month_name,month_num,year,is_weekend,time_of_day
T000015,D0297,C02008,2024-01-21 08:10:03,2024-01-21 09:13:21,L006,L002,New York,20.21,63.3,Premium,55.53,0,1.0,Card,Completed,8,Sunday,January,1,2024,Yes,Morning
T000016,D0084,C02847,2023-09-17 19:47:26,2023-09-17 20:15:20,L003,L007,New York,0,0,Economy,0,0,0,Card,Cancelled,19,Sunday,September,9,2023,Yes,Evening
T000017,D0223,C01272,2023-08-02 20:18:16,2023-08-02 20:48:10,L011,L009,Los Angeles,14.96,29.9,SUV,33.92,4.71,1.0,Card,Completed,20,Wednesday,August,8,2023,No,Evening
T000018,D0235,C00270,2024-12-17 22:00:35,2024-12-17 22:02:35,L013,L008,Los Angeles,1.79,2,Bike,2.07,0.36,1.0,Card,Completed,22,Tuesday,December,12,2024,No,Night
T000019,D0243,C00368,2024-01-11 18:42:40,2024-01-11 19:26:28,L026,L031,Phoenix,0,0,Premium,0,0,0,Card,Cancelled,18,Thursday,January,1,2024,No,Evening
T000020,D0316,C00006,2023-09-25 11:47:44,2023-09-25 12:13:56,L018,L017,Chicago,12.31,26.2,Economy,17.27,2.42,1.0,Card,Completed,11,Monday,September,9,2023,No,Morning
T000021,D0164,C02467,2024-06-01 07:25:53,2024-06-01 08:21:35,L014,L017,Chicago,18.34,55.7,SUV,48.82,0,1.2,Card,Completed,7,Saturday,June,6,2024,Yes,Morning
T000022,D0207,C00481,2024-02-24 10:01:48,2024-02-24 10:30:18,L018,L014,Chicago,14.27,28.5,Premium,40.67,3.25,1.0,Wallet,Completed,10,Saturday,February,2,2024,Yes,Morning
T000023,D0416,C01568,2023-11-02 19:49:03,2023-11-02 20:37:27,L010,L008,Los Angeles,16.52,48.4,Premium,46.3,7.45,1.0,Card,Completed,19,Thursday,November,11,2023,No,Evening
T000024,D0312,C02214,2023-01-10 08:20:22,2023-01-10 09:15:34,L024,L021,Houston,17.55,55.2,SUV,39.1,0,1.0,Wallet,Completed,8,Tuesday,January,1,2023,No,Morning
T000025,D0488,C00970,2023-09-24 18:08:59,2023-09-24 18:43:53,L012,L008,Los Angeles,0,0,Economy,0,0,0,Card,Cancelled,18,Sunday,September,9,2023,Yes,Evening
T000026,D0286,C00175,2024-01-28 18:38:51,2024-01-28 18:40:51,L024,L020,Houston,0.5,2,Economy,3.1,0.6,1.0,Card,Completed,18,Sunday,January,1,2024,Yes,Evening
T000027,D0465,C01156,2024-11-03 09:05:10,2024-11-03 10:08:28,L028,L031,Phoenix,19.84,63.3,XL,39.21,0,1.0,Card,Completed,9,Sunday,November,11,2024,Yes,Morning
T000028,D0353,C00193,2023-09-24 08:25:35,2023-09-24 09:05:17,L017,L015,Chicago,0,0,Premium,0,0,0,Cash,Cancelled,8,Sunday,September,9,2023,Yes,Morning
T000029,D0028,C01285,2023-06-25 17:30:00,2023-06-25 17:47:30,L013,L008,Los Angeles,6.51,17.5,Economy,20.62,0,2.0,Card,Completed,17,Sunday,June,6,2023,Yes,Evening
T000030,D0495,C02781,2024-08-23 08:40:09,2024-08-23 09:06:33,L031,L027,Phoenix,8.97,26.4,Economy,19.9,4.27,1.5,Card,Completed,8,Friday,August,8,2024,No,Morning
T000031,D0144,C01726,2024-11-11 19:51:56,2024-11-11 19:55:14,L029,L026,Phoenix,0.66,3.3,Bike,2.51,0,1.8,Card,Completed,19,Monday,November,11,2024,No,Evening
T000032,D0161,C00056,2023-04-18 18:04:37,2023-04-18 18:26:25,L017,L019,Chicago,7.84,21.8,Economy,11.91,1.66,1.0,Card,Completed,18,Tuesday,April,4,2023,No,Evening
T000033,D0035,C01355,2024-12-21 19:25:45,2024-12-21 20:04:33,L025,L020,Houston,12.26,38.8,Premium,35.65,2.7,1.0,Wallet,Completed,19,Saturday,December,12,2024,Yes,Evening
T000034,D0151,C00033,2024-04-29 16:07:02,2024-04-29 16:27:20,L025,L021,Houston,10.09,20.3,Economy,14.61,0,1.0,Card,Completed,16,Monday,April,4,2024,No,Afternoon
T000035,D0084,C01495,2023-04-16 02:16:50,2023-04-16 02:30:32,L005,L003,New York,5.57,13.7,Economy,9.18,1.14,1.0,Wallet,Completed,2,Sunday,April,4,2023,Yes,Night
T000036,D0112,C02354,2024-05-19 19:25:08,2024-05-19 20:02:02,L011,L010,Los Angeles,12.05,36.9,Economy,20.35,2.9,1.2,Card,Completed,19,Sunday,May,5,2024,Yes,Evening
T000037,D0166,C01120,2024-05-04 17:08:03,2024-05-04 17:24:39,L016,L015,Chicago,5.37,16.6,Bike,5.07,0,1.2,Cash,Completed,17,Saturday,May,5,2024,Yes,Evening
T000038,D0060,C00510,2024-03-08 01:35:47,2024-03-08 01:58:59,L028,L029,Phoenix,10.74,23.2,Economy,15.39,2.4,1.0,Card,Completed,1,Friday,March,3,2024,No,Night
T000039,D0225,C00643,2024-11-04 08:50:40,2024-11-04 09:11:34,L020,L022,Houston,7.33,20.9,Economy,13.56,0,1.2,Card,Completed,8,Monday,November,11,2024,No,Morning
T000040,D0080,C01721,2024-10-14 08:34:47,2024-10-14 09:12:05,L023,L020,Houston,12.11,37.3,SUV,28.22,0,1.0,Wallet,Completed,8,Monday,October,10,2024,No,Morning
T000041,D0167,C01448,2024-09-13 23:23:25,2024-09-13 23:52:01,L011,L009,Los Angeles,0,0,SUV,0,0,0,Card,Cancelled,23,Friday,September,9,2024,No,Night
T000042,D0252,C02036,2024-09-20 07:27:08,2024-09-20 08:02:20,L002,L003,New York,11.46,35.2,Economy,19.5,0,1.2,Card,Completed,7,Friday,September,9,2024,No,Morning
T000043,D0210,C01260,2023-12-10 16:03:16,2023-12-10 16:10:10,L026,L029,Phoenix,6.02,6.9,Economy,9.72,0,1.0,Cash,Completed,16,Sunday,December,12,2023,Yes,Afternoon
T000044,D0332,C00223,2023-09-06 18:07:01,2023-09-06 18:16:25,L025,L022,Houston,3.61,9.4,Economy,10.25,1.6,1.5,Corporate,Completed,18,Wednesday,September,9,2023,No,Evening
T000045,D0332,C00880,2023-11-30 11:56:45,2023-11-30 12:16:57,L024,L023,Houston,9.57,20.2,Economy,13.98,2.08,1.0,Wallet,Completed,11,Thursday,November,11,2023,No,Morning
T000046,D0319,C00029,2023-10-18 18:03:29,2023-10-18 18:37:29,L025,L020,Houston,13.1,34.0,Premium,75.5,0,2.0,Cash,Completed,18,Wednesday,October,10,2023,No,Evening
T000047,D0143,C01001,2024-10-26 00:41:49,2024-10-26 01:15:43,L027,L031,Phoenix,16.55,33.9,SUV,37.1,5.48,1.0,Card,Completed,0,Saturday,October,10,2024,Yes,Night
T000048,D0130,C02796,2023-04-14 08:55:22,2023-04-14 09:14:28,L021,L022,Houston,6.08,19.1,Economy,9.8,0,1.0,Cash,Completed,8,Friday,April,4,2023,No,Morning
T000049,D0450,C01885,2023-10-20 17:37:17,2023-10-20 18:25:59,L024,L022,Houston,16.67,48.7,XL,40.21,7.71,1.2,Wallet,Completed,17,Friday,October,10,2023,No,Evening
T000050,D0052,C00560,2023-07-05 18:01:19,2023-07-05 18:39:31,L012,L010,Los Angeles,12.97,38.2,SUV,59.88,5.72,2.0,Card,Completed,18,Wednesday,July,7,2023,No,Evening
T000051,D0067,C00871,2023-08-19 15:04:07,2023-08-19 15:12:49,L016,L017,Chicago,5.1,8.7,Economy,8.62,0,1.0,Wallet,Completed,15,Saturday,August,8,2023,Yes,Afternoon
T000052,D0192,C01101,2024-06-19 11:57:39,2024-06-19 12:06:21,L002,L006,New York,2.9,8.7,Economy,5.98,1.12,1.0,Card,Completed,11,Wednesday,June,6,2024,No,Morning
T000053,D0114,C00121,2023-01-03 18:25:03,2023-01-03 18:49:39,L009,L010,Los Angeles,10.08,24.6,Economy,14.6,1.99,1.0,Card,Completed,18,Tuesday,January,1,2023,No,Evening
T000054,D0267,C01915,2023-12-29 09:04:27,2023-12-29 09:17:39,L020,L024,Houston,3.86,13.2,Economy,10.7,2.52,1.5,Card,Completed,9,Friday,December,12,2023,No,Morning
T000055,D0127,C02288,2023-10-08 06:24:52,2023-10-08 06:30:46,L003,L001,New York,3.8,5.9,Bike,3.28,0.69,1.0,Card,Completed,6,Sunday,October,10,2023,Yes,Morning
T000056,D0392,C01938,2024-09-06 18:46:02,2024-09-06 19:59:38,L004,L003,New York,24.05,73.6,XL,46.79,0,1.0,Cash,Completed,18,Friday,September,9,2024,No,Evening
T000057,D0094,C01754,2023-12-19 13:23:31,2023-12-19 13:59:07,L031,L029,Phoenix,0,0,XL,0,0,0,Wallet,Cancelled,13,Tuesday,December,12,2023,No,Afternoon
T000058,D0351,C02714,2023-10-05 17:50:47,2023-10-05 18:28:17,L010,L011,Los Angeles,13.12,37.5,Premium,75.6,4.85,2.0,Card,Completed,17,Thursday,October,10,2023,No,Evening
T000059,D0375,C02645,2024-03-31 08:33:17,2024-03-31 09:38:17,L030,L031,Phoenix,22.53,65.0,SUV,73.59,0,1.5,Cash,Completed,8,Sunday,March,3,2024,Yes,Morning
T000060,D0380,C00317,2023-07-20 17:45:32,2023-07-20 18:28:08,L019,L015,Chicago,14.21,42.6,SUV,48.63,2.57,1.5,Wallet,Completed,17,Thursday,July,7,2023,No,Evening
T000061,D0295,C01788,2023-08-19 08:08:12,2023-08-19 08:56:00,L012,L013,Los Angeles,17.76,47.8,XL,35.47,0,1.0,Card,Completed,8,Saturday,August,8,2023,Yes,Morning
T000062,D0476,C00306,2024-05-28 20:06:31,2024-05-28 20:29:37,L031,L026,Phoenix,0,0,Premium,0,0,0,Corporate,Cancelled,20,Tuesday,May,5,2024,No,Evening
T000063,D0471,C01845,2023-12-06 18:58:11,2023-12-06 19:24:53,L010,L012,Los Angeles,9.16,26.7,Economy,13.49,0,1.0,Cash,Completed,18,Wednesday,December,12,2023,No,Evening
T000064,D0124,C02610,2023-05-06 11:45:46,2023-05-06 12:03:28,L015,L016,Chicago,8.55,17.7,Premium,26.38,5.4,1.0,Card,Completed,11,Saturday,May,5,2023,Yes,Morning
T000065,D0308,C02634,2024-02-29 17:03:10,2024-02-29 17:23:58,L025,L021,Houston,0,0,Economy,0,0,0,Card,Cancelled,17,Thursday,February,2,2024,No,Evening
T000066,D0364,C02632,2023-10-15 13:29:06,2023-10-15 13:50:24,L019,L016,Chicago,0,0,Premium,0,0,0,Card,Cancelled,13,Sunday,October,10,2023,Yes,Afternoon
T000067,D0307,C02813,2023-12-11 17:36:22,2023-12-11 18:11:46,L029,L027,Phoenix,12.46,35.4,Premium,65.07,14.4,1.8,Card,Completed,17,Monday,December,12,2023,No,Evening
T000068,D0289,C00489,2023-02-09 20:03:43,2023-02-09 20:06:13,L010,L011,Los Angeles,1.52,2.5,Bike,1.91,0.1,1.0,Card,Completed,20,Thursday,February,2,2023,No,Evening
T000069,D0370,C02075,2023-11-12 22:21:03,2023-11-12 22:23:21,L022,L024,Houston,1.14,2.3,Economy,3.87,0,1.0,Corporate,Completed,22,Sunday,November,11,2023,Yes,Night
T000070,D0055,C00706,2023-07-17 14:17:36,2023-07-17 14:43:36,L017,L019,Chicago,12.98,26.0,Premium,37.45,0,1.0,Card,Completed,14,Monday,July,7,2023,No,Afternoon
T000071,D0223,C02799,2023-02-14 12:26:17,2023-02-14 12:53:53,L010,L011,Los Angeles,13.29,27.6,SUV,30.58,0,1.0,Card,Completed,12,Tuesday,February,2,2023,No,Afternoon
T000072,D0459,C02099,2024-04-02 17:59:35,2024-04-02 18:53:11,L001,L006,New York,17.52,53.6,XL,52.55,12.21,1.5,Card,Completed,17,Tuesday,April,4,2024,No,Evening
T000073,D0235,C01925,2024-11-04 05:04:13,2024-11-04 05:06:43,L010,L009,Los Angeles,0.5,2.5,Bike,1.3,0,1.0,Card,Completed,5,Monday,November,11,2024,No,Night
T000074,D0351,C02634,2023-11-16 06:02:06,2023-11-16 06:26:00,L012,L010,Los Angeles,0,0,Premium,0,0,0,Card,Cancelled,6,Thursday,November,11,2023,No,Morning
T000075,D0136,C01103,2024-06-02 16:37:37,2024-06-02 17:11:55,L007,L005,New York,18.54,34.3,XL,36.87,5.42,1.0,Wallet,Completed,16,Sunday,June,6,2024,Yes,Afternoon
T000076,D0089,C01118,2023-09-19 23:35:16,2023-09-20 00:00:10,L022,L020,Houston,0,0,Premium,0,0,0,Card,Cancelled,23,Tuesday,September,9,2023,No,Night
T000077,D0123,C01450,2024-08-08 19:48:47,2024-08-08 20:08:29,L021,L025,Houston,7.09,19.7,Economy,13.21,1.98,1.2,Corporate,Completed,19,Thursday,August,8,2024,No,Evening
T000078,D0434,C00078,2024-11-20 11:53:27,2024-11-20 12:22:21,L016,L017,Chicago,15.37,28.9,XL,31.17,1.57,1.0,Card,Completed,11,Wednesday,November,11,2024,No,Morning
T000079,D0457,C00182,2024-09-14 09:05:09,2024-09-14 09:24:21,L011,L009,Los Angeles,5.76,19.2,Economy,18.82,3.24,2.0,Card,Completed,9,Saturday,September,9,2024,Yes,Morning
T000080,D0088,C00168,2023-06-26 07:47:15,2023-06-26 07:49:33,L019,L016,Chicago,0.5,2.3,Bike,1.3,0.16,1.0,Card,Completed,7,Monday,June,6,2023,No,Morning
T000081,D0309,C01743,2024-07-27 10:58:04,2024-07-27 11:07:22,L005,L003,New York,6.14,9.3,Economy,9.87,1.98,1.0,Card,Completed,10,Saturday,July,7,2024,Yes,Morning
T000082,D0270,C02853,2024-02-04 19:17:06,2024-02-04 19:49:48,L026,L029,Phoenix,10.46,32.7,Economy,15.05,0,1.0,Wallet,Completed,19,Sunday,February,2,2024,Yes,Evening
T000083,D0253,C02935,2024-04-28 18:10:59,2024-04-28 18:40:17,L027,L026,Phoenix,9.46,29.3,SUV,22.92,0,1.0,Card,Completed,18,Sunday,April,4,2024,Yes,Evening
T000084,D0225,C00745,2024-10-17 17:42:12,2024-10-17 18:24:48,L020,L024,Houston,14.51,42.6,Economy,19.91,4.67,1.0,Card,Completed,17,Thursday,October,10,2024,No,Evening
T000085,D0382,C00613,2023-08-18 19:56:14,2023-08-18 20:15:14,L029,L027,Phoenix,0,0,Economy,0,0,0,Card,Cancelled,19,Friday,August,8,2023,No,Evening
T000086,D0126,C01885,2024-07-17 08:41:31,2024-07-17 09:08:07,L009,L010,Los Angeles,8.76,26.6,Premium,32.28,0,1.2,Cash,Completed,8,Wednesday,July,7,2024,No,Morning
T000087,D0367,C02348,2023-02-13 04:52:42,2023-02-13 05:22:12,L024,L023,Houston,17.4,29.5,SUV,38.8,0,1.0,Card,Completed,4,Monday,February,2,2023,No,Night
T000088,D0399,C02262,2023-08-06 19:28:57,2023-08-06 20:00:09,L005,L001,New York,10.92,31.2,SUV,25.84,2.91,1.0,Wallet,Completed,19,Sunday,August,8,2023,Yes,Evening
T000089,D0402,C02558,2024-06-16 05:28:22,2024-06-16 05:42:04,L030,L031,Phoenix,7.98,13.7,Economy,12.08,1.38,1.0,Card,Completed,5,Sunday,June,6,2024,Yes,Night
T000090,D0237,C02089,2024-04-17 18:40:07,2024-04-17 18:58:19,L014,L016,Chicago,5.64,18.2,Economy,11.12,1.54,1.2,Card,Completed,18,Wednesday,April,4,2024,No,Evening
T000091,D0419,C01962,2023-11-06 07:15:29,2023-11-06 07:47:29,L003,L007,New York,11.23,32.0,SUV,26.46,4.51,1.0,Corporate,Completed,7,Monday,November,11,2023,No,Morning
T000092,D0320,C02240,2023-03-19 08:36:56,2023-03-19 08:52:14,L007,L001,New York,5.75,15.3,Economy,11.28,0.79,1.2,Wallet,Completed,8,Sunday,March,3,2023,Yes,Morning
T000093,D0007,C01646,2023-10-29 18:54:27,2023-10-29 19:50:45,L021,L025,Houston,18.8,56.3,XL,37.34,0,1.0,Card,Completed,18,Sunday,October,10,2023,Yes,Evening
T000094,D0079,C01588,2024-03-05 17:14:22,2024-03-05 17:57:52,L026,L028,Phoenix,13.06,43.5,Premium,45.18,5.0,1.2,Wallet,Completed,17,Tuesday,March,3,2024,No,Evening
T000095,D0024,C01724,2024-01-17 11:32:50,2024-01-17 11:34:50,L016,L018,Chicago,0.5,2,Bike,1.3,0.32,1.0,Wallet,Completed,11,Wednesday,January,1,2024,No,Morning
T000096,D0485,C01995,2023-12-10 09:06:31,2023-12-10 09:40:25,L006,L001,New York,12.57,33.9,Premium,54.64,0,1.5,Wallet,Completed,9,Sunday,December,12,2023,Yes,Morning
T000097,D0275,C02770,2024-12-03 04:08:45,2024-12-03 04:18:15,L019,L015,Chicago,5.73,9.5,Economy,9.38,0,1.0,Cash,Completed,4,Tuesday,December,12,2024,No,Night
T000098,D0165,C02912,2024-09-30 10:02:20,2024-09-30 10:31:14,L026,L029,Phoenix,0,0,SUV,0,0,0,Card,Cancelled,10,Monday,September,9,2024,No,Morning
T000099,D0035,C02669,2024-12-15 18:48:44,2024-12-15 19:29:38,L023,L020,Houston,13.24,40.9,Premium,45.72,0,1.2,Card,Completed,18,Sunday,December,12,2024,Yes,Evening
T000100,D0401,C01612,2024-09-28 21:34:32,2024-09-28 21:40:38,L017,L019,Chicago,4.03,6.1,Economy,7.34,0,1.0,Cash,Completed,21,Saturday,September,9,2024,Yes,Night
T000101,D0312,C00219,2024-11-09 20:14:28,2024-11-09 20:39:52,L022,L023,Houston,13.36,25.4,SUV,30.72,0,1.0,Wallet,Completed,20,Saturday,November,11,2024,Yes,Evening
T000102,D0281,C02354,2024-09-21 10:58:14,2024-09-21 11:13:08,L020,L021,Houston,8.15,14.9,Economy,12.28,1.66,1.0,Wallet,Completed,10,Saturday,September,9,2024,Yes,Morning
T000103,D0130,C00552,2024-04-21 11:13:21,2024-04-21 11:27:21,L023,L022,Houston,8.19,14.0,Economy,12.33,0,1.0,Card,Completed,11,Sunday,April,4,2024,Yes,Morning
T000104,D0384,C00657,2024-04-12 21:42:50,2024-04-12 22:04:26,L025,L020,Houston,9.94,21.6,Economy,14.43,2.34,1.0,Card,Completed,21,Friday,April,4,2024,No,Night
T000105,D0400,C00364,2023-09-15 16:58:31,2023-09-15 17:31:25,L011,L010,Los Angeles,17.29,32.9,XL,34.62,3.3,1.0,Card,Completed,16,Friday,September,9,2023,No,Afternoon
T000106,D0320,C01422,2024-05-01 18:34:08,2024-05-01 19:00:26,L007,L004,New York,8.05,26.3,Economy,12.16,1.34,1.0,Corporate,Completed,18,Wednesday,May,5,2024,No,Evening
T000107,D0250,C00724,2024-07-18 07:47:35,2024-07-18 08:16:29,L018,L014,Chicago,10.1,28.9,Premium,30.25,3.13,1.0,Card,Completed,7,Thursday,July,7,2024,No,Morning
T000108,D0042,C01811,2023-01-03 11:10:24,2023-01-03 11:27:48,L024,L020,Houston,8.96,17.4,Economy,13.25,0,1.0,Cash,Completed,11,Tuesday,January,1,2023,No,Morning
T000109,D0055,C00934,2024-09-03 19:53:23,2024-09-03 20:30:11,L017,L018,Chicago,11.5,36.8,Premium,50.62,10.81,1.5,Card,Completed,19,Tuesday,September,9,2024,No,Evening
T000110,D0013,C00527,2024-04-04 19:55:51,2024-04-04 20:39:45,L015,L018,Chicago,0,0,Premium,0,0,0,Corporate,Cancelled,19,Thursday,April,4,2024,No,Evening
T000111,D0479,C00122,2024-03-22 18:37:55,2024-03-22 18:51:55,L019,L017,Chicago,3.85,14.0,Economy,7.12,1.0,1.0,Wallet,Completed,18,Friday,March,3,2024,No,Evening
T000112,D0226,C01784,2023-03-02 00:20:15,2023-03-02 00:31:33,L021,L022,Houston,7.86,11.3,Economy,11.93,2.8,1.0,Card,Completed,0,Thursday,March,3,2023,No,Night
T000113,D0213,C02514,2024-04-02 16:04:21,2024-04-02 16:22:51,L010,L013,Los Angeles,9.66,18.5,Economy,14.09,1.33,1.0,Card,Completed,16,Tuesday,April,4,2024,No,Afternoon
T000114,D0043,C01943,2024-11-02 14:04:52,2024-11-02 14:19:22,L002,L003,New York,0,0,Economy,0,0,0,Card,Cancelled,14,Saturday,November,11,2024,Yes,Afternoon
T000115,D0248,C00257,2023-12-22 10:25:12,2023-12-22 10:59:24,L012,L011,Los Angeles,0,0,SUV,0,0,0,Card,Cancelled,10,Friday,December,12,2023,No,Morning
T000116,D0338,C00526,2023-10-22 08:36:39,2023-10-22 08:46:03,L013,L010,Los Angeles,3.69,9.4,Economy,10.39,0,1.5,Cash,Completed,8,Sunday,October,10,2023,Yes,Morning
T000117,D0366,C00647,2024-05-11 08:43:41,2024-05-11 08:52:53,L018,L016,Chicago,2.58,9.2,Economy,5.6,0.31,1.0,Card,Completed,8,Saturday,May,5,2024,Yes,Morning
T000118,D0106,C01371,2023-09-24 06:46:39,2023-09-24 07:21:21,L006,L003,New York,17.61,34.7,Premium,49.02,0,1.0,Wallet,Completed,6,Sunday,September,9,2023,Yes,Morning
T000119,D0280,C01971,2023-04-20 08:58:58,2023-04-20 09:22:58,L028,L030,Phoenix,8.19,24.0,Premium,25.47,1.61,1.0,Wallet,Completed,8,Thursday,April,4,2023,No,Morning
T000120,D0220,C02813,2024-01-10 10:53:30,2024-01-10 11:13:06,L004,L006,New York,8.91,19.6,Economy,13.19,2.21,1.0,Card,Completed,10,Wednesday,January,1,2024,No,Morning
T000121,D0148,C00261,2023-04-15 20:00:05,2023-04-15 20:24:41,L018,L015,Chicago,11.02,24.6,Premium,32.55,5.86,1.0,Card,Completed,20,Saturday,April,4,2023,Yes,Evening
T000122,D0423,C02165,2024-09-16 12:03:17,2024-09-16 12:37:23,L001,L004,New York,16.47,34.1,Premium,46.17,3.1,1.0,Card,Completed,12,Monday,September,9,2024,No,Afternoon
T000123,D0033,C01025,2023-06-27 13:34:09,2023-06-27 13:36:39,L001,L006,New York,0.5,2.5,Bike,1.3,0,1.0,Corporate,Completed,13,Tuesday,June,6,2023,No,Afternoon
T000124,D0078,C00186,2024-04-22 18:40:50,2024-04-22 18:55:08,L020,L022,Houston,4.89,14.3,Economy,8.37,1.1,1.0,Wallet,Completed,18,Monday,April,4,2024,No,Evening
T000125,D0473,C02369,2024-05-24 08:59:56,2024-05-24 09:54:26,L021,L022,Houston,0,0,XL,0,0,0,Card,Cancelled,8,Friday,May,5,2024,No,Morning
T000126,D0107,C02058,2023-12-02 20:41:53,2023-12-02 21:02:17,L007,L002,New York,11.02,20.4,Premium,32.55,0,1.0,Cash,Completed,20,Saturday,December,12,2023,Yes,Evening
T000127,D0219,C00392,2023-03-16 10:09:34,2023-03-16 10:39:58,L013,L012,Los Angeles,15.03,30.4,Premium,42.57,0,1.0,Card,Completed,10,Thursday,March,3,2023,No,Morning
T000128,D0079,C00079,2023-03-16 23:25:18,2023-03-16 23:46:00,L028,L026,Phoenix,9.98,20.7,Premium,29.95,2.27,1.0,Wallet,Completed,23,Thursday,March,3,2023,No,Night
T000129,D0186,C00951,2024-11-06 22:08:13,2024-11-06 22:26:49,L006,L007,New York,0,0,Economy,0,0,0,Card,Cancelled,22,Wednesday,November,11,2024,No,Night
T000130,D0021,C00310,2023-03-30 18:16:26,2023-03-30 18:34:08,L026,L028,Phoenix,5.99,17.7,Economy,11.63,1.43,1.2,Card,Completed,18,Thursday,March,3,2023,No,Evening
T000131,D0196,C02449,2023-07-17 11:55:28,2023-07-17 12:08:10,L010,L011,Los Angeles,5.92,12.7,Economy,9.6,0,1.0,Card,Completed,11,Monday,July,7,2023,No,Morning
T000132,D0324,C01754,2024-09-07 00:16:50,2024-09-07 00:18:50,L030,L028,Phoenix,0,0,Bike,0,0,0,Card,Cancelled,0,Saturday,September,9,2024,Yes,Night
T000133,D0302,C01859,2024-05-09 18:40:14,2024-05-09 19:15:56,L010,L009,Los Angeles,12.6,35.7,Economy,17.62,0,1.0,Cash,Completed,18,Thursday,May,5,2024,No,Evening
T000134,D0360,C00951,2023-10-04 13:49:41,2023-10-04 14:34:59,L030,L026,Phoenix,21.83,45.3,XL,42.79,5.6,1.0,Corporate,Completed,13,Wednesday,October,10,2023,No,Afternoon
T000135,D0300,C01598,2023-05-03 12:15:14,2023-05-03 12:48:32,L016,L014,Chicago,17.49,33.3,SUV,38.98,0,1.0,Cash,Completed,12,Wednesday,May,5,2023,No,Afternoon
T000136,D0288,C01514,2023-06-20 09:54:38,2023-06-20 10:10:08,L017,L016,Chicago,5.48,15.5,Economy,9.08,0.95,1.0,Card,Completed,9,Tuesday,June,6,2023,No,Morning
T000137,D0244,C00854,2024-03-11 16:44:45,2024-03-11 16:56:57,L013,L009,Los Angeles,7.05,12.2,Economy,10.96,1.81,1.0,Wallet,Completed,16,Monday,March,3,2024,No,Afternoon
T000138,D0223,C00830,2024-11-12 21:48:32,2024-11-12 22:25:20,L010,L012,Los Angeles,18.49,36.8,SUV,40.98,0,1.0,Cash,Completed,21,Tuesday,November,11,2024,No,Night
